Generation,Max Fitness,Mean Fitness,Std Fitness,Variety
1,107.42260461408466,60.687710924517255,43.091612299540614,11.718282679429892
2,188.65038777488468,88.77648112737292,41.88620250070335,6.925853777987165
3,191.15368229835204,94.99573812870258,52.52098829480798,7.956023705197597
4,189.39820984285785,115.10140880963857,64.39228824730505,8.755886864753336
5,189.55916129779646,114.90902636859896,74.47231776858014,8.123041039572293
6,189.6351199474795,135.48408097085724,75.06072675539512,4.901281607103689
7,190.1148896786389,134.17260342774307,76.8647193706729,4.95567118739459
8,190.2995553177929,153.03606923802832,70.42345827104899,3.458549867396004
9,190.2995553177929,151.01643470627567,71.28665700743039,3.174583310028138
10,190.2995553177929,136.94505591970778,80.48265030220426,3.9515459503649906
