Generation,Max Fitness,Mean Fitness,Std Fitness,Variety
1,187.55005096370263,44.06463073045869,47.25973687786329,12.409658321022517
2,188.0292233540943,86.64789354435459,67.88676344710306,10.456643421365904
3,189.5591507852383,104.35236078255593,73.97161939579803,8.140718521484624
4,189.5591507852383,98.30709186692576,79.55067419117711,6.382584307905528
5,189.59905689018268,119.88812107015309,84.40364584897728,4.183070118699374
6,189.59905689018268,139.8202223279144,80.97665678642764,1.9900423878014095
7,189.59905689018268,145.29265806964185,78.59453277201177,1.84961572739297
8,189.59905689018268,143.5971136307807,78.64137251901762,1.9983887445576278
9,189.59905689018268,149.98174770198932,74.94861777127673,1.7061951296324063
10,189.59905689018268,141.62702107170955,79.22598899594671,2.0636381106078554
