Generation,Max Fitness,Mean Fitness,Std Fitness,Variety
1,48.27325689286718,6.492613797097981,7.251350325666132,13.233424194362312
2,55.916327665645056,13.614298067786123,9.167832832212236,12.840962058703637
3,56.07889898973427,24.806299493201923,10.255998083128997,11.859724093256098
4,63.29383523967016,34.909612571991936,12.960793129342125,11.088981124461288
5,63.29383523967016,47.19501612006762,8.540571167546215,10.288736180704653
6,63.30521072130988,52.792220449613275,4.594989305612181,9.15077858374632
7,63.30521072130988,56.49884165345106,3.403402174589571,7.161358734928828
8,63.30521072130988,58.64548841850046,3.3643342941200967,3.208895029214487
9,63.33155832233888,62.10667543039831,2.4778402052039006,1.5517774881907185
10,63.34792373974324,63.29178813697686,0.011609840953260956,1.613430328784635
11,63.39474081562378,63.30720001028203,0.013411865383879873,0.8816457956900754
12,63.39890842956268,63.32155561507019,0.02348750975095299,0.4458778809686703
13,63.39890842956268,63.35829308034982,0.021283289497963237,0.20283390120046918
14,63.39890842956268,63.393432341137164,0.009661933266564603,0.1091996066424308
15,63.39890842956268,63.39890842956267,1.4210854715202004e-14,0.1096124921226068
16,63.39890842956268,63.39890842956267,1.4210854715202004e-14,0.10961249212260718
17,63.39890842956268,63.39890842956267,1.4210854715202004e-14,0.11045579596846966
18,63.39940534525718,63.398912251991085,4.341444130221776e-05,0.11353305887630168
19,63.39940534525718,63.39893136413319,0.00010426194660997561,0.12992863501050897
20,63.39940534525718,63.39903074727208,0.00021405599147608602,0.12449604160923243
21,63.39940534525718,63.39935947611613,0.00014383712306758898,0.21304059776934417
22,65.09049102253879,63.41241369662088,0.14774647024888954,0.30432794541888325
23,67.1690074850029,63.441410636157386,0.3599176538258224,0.62012836238858
24,71.01206741261593,63.57606711136331,0.9724238707282292,1.2692601116708375
25,77.05219637272288,64.11736397778424,2.191610814005346,1.7463060997189332
26,77.24181293273962,64.77315934717969,2.9718421512962454,2.3801603032012255
27,79.08296453571465,66.84656174087448,4.40869236129482,2.2177525855973808
28,79.08296453571465,70.56593578364448,4.39857066081348,1.4524864665913955
29,86.29683448520359,75.00544661547006,3.9035669371433803,1.036528979594347
30,92.74396204707037,78.89595048261424,2.206117592550207,1.0876194288462975
