Generation,Max Fitness,Mean Fitness,Std Fitness,Variety
1,53.99502243792017,14.104157438884007,12.17439772498982,13.39800443327378
2,56.06367771126044,19.32317002471364,13.205308783049766,13.59660369493912
3,62.90763292541867,21.440096545089595,14.053623308341717,13.28766973495091
4,70.30556967175923,24.918350652451878,15.787346653762436,12.525765707978382
5,70.28405055454068,28.1228216810806,19.470067712059663,10.862317336226019
6,76.4712031591077,32.245670554274895,25.127982567927713,7.959478821899977
7,72.08668836608935,34.574804251879314,26.4444806159375,7.881164789225788
8,72.09583783443509,42.15396619420226,29.233317017820823,6.604487737339265
9,72.09583783443509,45.16517505787321,29.812354235313727,5.971750060797056
10,72.10539905926453,42.848422021120555,29.400715549631354,6.374931904818469
