Generation,Max Fitness,Mean Fitness,Std Fitness,Variety
1,44.28861601444865,13.97044827503103,11.94475079632165,12.249412373343558
2,57.70870261880283,20.04912505850125,15.020368777339584,11.107139773682253
3,45.437681425931856,23.731980101181943,13.642947264337158,9.896074772701315
4,68.37599715858386,26.21733966053738,15.95284207004284,5.931715493063158
5,70.86839906412044,26.560671242814546,17.14386946470511,7.0957712618488475
6,79.86979880888512,25.564991747175096,15.320220192341765,6.74547472773892
7,70.97170385945272,24.338873447604957,17.934479138426266,6.9594953557348065
8,77.97764072974817,29.01021369030565,18.810507695563043,5.047791057674224
9,78.40087091615334,28.78834201548594,20.895462648112996,4.906886709118166
10,92.9014347144354,37.42699018571749,27.00184693269766,4.382779116922364
