Generation,Max Fitness,Mean Fitness,Std Fitness,Variety
1,77.67361456267358,36.76228359981916,19.76371273753198,12.110400161457244
2,85.08005792681209,43.70207469854927,22.274615226743407,9.749789375391556
3,92.55487225834315,66.95222479088653,24.340583455028383,3.9237159202623446
4,85.1463823560463,64.3829662981189,28.955099490908818,3.9797961539096507
5,85.08005792681209,67.27872013324524,28.987029195447743,3.488253675619535
6,85.08005792681209,69.5823470840483,28.580791200858197,2.9145836482154315
7,85.08005792681209,72.20131266748987,26.533400339942748,2.5049266615933323
8,85.08005792681209,70.44368385293245,26.267493858182082,3.178482969752331
9,85.08005792681209,72.20066100911127,25.821531400779794,2.596419875994756
10,85.08005792681209,73.90485380293237,23.863900049347603,2.431292447971949
11,85.08005792681209,75.10897310777803,23.261050783337748,2.046117740123949
12,85.08005792681209,72.18203276203242,24.237137563932617,2.9446159941220476
13,85.08005792681209,72.38173770770578,25.166811842712562,2.6781223825303018
14,85.08005792681209,70.3129723979821,26.710222694636347,3.069314606517483
15,85.08005792681209,76.83033090839888,21.39133424577183,1.6824357571448505
16,85.08005792681209,70.88170604206059,27.31815523040198,2.8256705495215084
17,85.08005792681209,74.75739183432745,23.044276843324486,2.247310272766834
18,85.08005792681209,72.58545771604432,24.134620838944027,2.6862003671378503
19,85.08005792681209,72.17880527822626,25.55556678148146,2.7590058971182274
20,85.08005792681209,73.53941208684695,24.71699167264604,2.3048441218506404
21,85.08005792681209,70.48152731751838,27.352151597227103,2.918767900116074
22,85.08005792681209,71.43102174933723,26.332375596128333,2.815567992212372
23,85.08005792681209,69.81882235429548,27.692075346306655,3.0038378434614876
24,85.08005792681209,70.55618792339129,27.67729360918952,2.7523944773795024
25,85.08005792681209,71.48228119674853,25.79576186275905,3.0157028664551606
26,85.08005792681209,68.86139180119066,27.328082159238697,3.364363032811204
27,85.08005792681209,72.09014201848936,25.114847125797322,2.922600676443351
28,85.08005792681209,73.15405853908298,23.59816878638839,2.7956420675593314
29,85.08005792681209,74.14169665776949,23.381585751528135,2.511897688452546
30,85.08005792681209,67.81414063397287,29.31689574655123,3.2239067701855135
