Generation,Max Fitness,Mean Fitness,Std Fitness,Variety
1,92.93740496697303,24.961003812918964,30.702362762517293,13.933521857450078
2,92.93740496697303,33.296282180506175,33.34399452090961,14.251263352960747
3,92.93740496697303,39.82328092289375,35.337668932113004,14.536118353184753
4,92.93740496697303,45.39881922373841,35.665040230819386,14.782526527782522
5,93.33193985886487,53.02521541220944,35.85396242781698,14.921745561370049
6,93.33193985886487,63.98284200443682,32.16616454136014,14.990688312138396
7,93.33193985886487,67.43626616508007,30.437620006963307,15.025861167865301
8,93.33193985886487,70.25864736064686,28.537488225551208,15.050409058428638
9,95.4638318050256,74.58146711133102,25.524749139407366,15.089506680264115
10,95.4638318050256,78.07783066332576,22.32369907487895,15.09503578127322
11,95.4638318050256,81.34851907105023,19.643987888718904,15.169304591408148
12,95.4638318050256,84.53843822751617,15.813702587121153,15.158579742790408
13,95.4638318050256,86.10757380800352,14.000207035403253,15.199571193994359
14,95.4638318050256,88.44463771948688,8.19130318544971,15.187404841873564
15,95.4638318050256,88.95148528668031,7.461578093964387,15.233770339631299
16,95.4638318050256,89.45811126115102,7.023707605341855,15.256870143152934
17,95.4638318050256,89.6056074721994,7.022005409559996,15.289813945695297
18,95.4638318050256,89.80549974179316,7.017646582856497,15.28868490079401
19,95.4638318050256,89.96996824830417,6.9374448587841515,15.299550561568628
20,95.4638318050256,90.17858594698721,5.918183890878192,15.306227608197538
21,95.4638318050256,90.24116912222422,5.910642385312271,15.29937532995132
22,95.4638318050256,90.65944221777569,4.742313125254462,15.327619772088696
23,95.4638318050256,91.26248103594524,1.5785449547413541,15.337696965680612
24,95.4638318050256,91.27783197863668,1.5727024385691524,15.37352640043482
25,95.4638318050256,91.35908404031171,1.569008044562462,15.379985986856278
26,95.4638318050256,91.4687802672928,1.4485541915992028,15.407362403375268
27,95.4638318050256,91.51032087592758,1.4026911511052877,15.412359094501591
28,95.4638318050256,91.62840318266844,1.3038015439345942,15.421957377226764
29,95.4638318050256,91.71322868397881,1.1739220274160793,15.444011597641682
30,95.4638318050256,91.77379105956193,1.1122322249446528,15.445481794606334
