Generation,Max Fitness,Mean Fitness,Std Fitness,Variety
1,25.3620679071838,5.328797470516969,3.779254868961223,13.056311179038659
2,41.35466266759663,9.704966866316099,6.876298301035564,12.564216758227632
3,44.12058639975234,16.894058997921288,9.546178749245119,11.711284727000415
4,46.95579877397149,29.295890319274434,5.243315238895375,11.496284211416304
5,63.51159104790191,33.02646092384069,6.183363175419468,11.090778366379968
6,70.28633059619388,36.479520596094616,8.489652199805247,9.53506714934152
7,70.28685374929991,41.309816698592364,7.968021154011351,8.873467984948022
8,70.46469900736223,45.435720133583175,8.219583991497947,8.264617739611653
9,76.48658419778245,50.14448162660163,9.640218592181828,7.1837336977960495
10,79.55169452834437,57.55256763030296,10.35200473145663,2.5708836945475246
