Generation,Max Fitness,Mean Fitness,Std Fitness,Variety
1,90.53642023266134,16.559101352827522,22.797483715621986,13.954398799237241
2,90.53642023266134,21.61181979833882,26.69989631778117,14.365784041856125
3,90.53642023266134,29.824012758449314,30.236375560401758,14.753234489764635
4,90.76254710353533,39.837024149198804,33.1676164503325,14.975751464731182
5,90.76254710353533,45.583266857476055,32.96180838809778,15.026237582996684
6,90.76254710353533,53.40703603539872,32.90189572623184,15.076358220491775
7,91.21968822339261,59.731272065244625,31.253689140797015,15.11941875685072
8,91.21968822339261,66.88728394132751,29.289814236085164,15.155763791286462
9,91.21968822339261,71.83358946146382,25.670614882793036,15.215191178113683
10,91.39067522005317,75.67947389605766,22.86447627415375,15.2459407899127
11,91.39067522005317,77.6530568753366,20.959873819259023,15.289353500174853
12,91.39067522005317,79.56490420014154,18.4213168394417,15.298406546135595
13,91.39067522005317,82.82013775035445,14.339722208529533,15.330041270063608
14,91.39067522005317,84.35966760746624,12.532372116927535,15.346163767989902
15,91.39067522005317,84.75572955024398,12.38219382499285,15.400559058461365
16,91.39067522005317,85.91312668228866,10.379580683607765,15.40073402649952
17,91.39067522005317,86.32197726250082,9.292442954448298,15.388703846351286
18,91.39067522005317,87.57424621718864,5.085502914783611,15.414066713074714
19,91.39067522005317,87.62711027441256,5.080956131265566,15.415078054303846
20,91.39067522005317,87.69476639009814,5.089876368219808,15.414880761978315
21,91.39067522005317,87.78408848357246,4.987955459793166,15.42670630088708
22,91.39067522005317,87.78821499635227,4.989024181590462,15.448746751615275
23,91.39067522005317,87.81965544445299,4.992824247596357,15.45993923333463
24,91.7535612249423,88.29284731268342,1.421571654675348,15.476126963222598
25,91.7535612249423,88.32269867380938,1.419209441527015,15.49240881675694
26,91.7535612249423,88.34862232465188,1.428541759670661,15.50401051320542
27,91.7535612249423,88.39646867150063,1.437661376569808,15.503880192179592
28,91.7535612249423,88.44744438150441,1.4403426695570283,15.51994855988171
29,91.7535612249423,88.49220529707986,1.4412891033482285,15.534531069345766
30,91.7535612249423,88.5209065096933,1.4491233790691713,15.539648249308584
