Generation,Max Fitness,Mean Fitness,Std Fitness,Variety
1,107.12190384199175,9.966326712794404,17.652221339921343,13.26221510057405
2,107.13490463513517,35.15634701004604,21.91509644800328,12.97454811892905
3,186.73103908173323,64.69175667884532,31.094449348809896,12.604538542548836
4,186.73103908173323,85.30313187817039,29.12339520644139,12.134522501435512
5,186.94776056004108,108.37508761330758,13.978960281246717,11.957111807229776
6,186.99311455097973,110.30089338431739,15.515824928646744,11.914850795189302
7,186.99311455097973,111.8897965084664,18.81860579398549,11.916196806052415
8,186.99311455097973,113.44975965371465,21.402402976463808,11.826047999177229
9,186.99311455097973,117.4449607374167,26.64494041207884,11.370713729828614
10,186.99311455097973,128.61197409650518,35.270042968018636,8.114459194455096
